Title,Column 1,Column 2,Column 3,Column 4
Vice President / Director of Systems Engineering,Vice President,,,
Systems Engineer; Systems Architect,Manager,Individual Contributor/Staff,,
"Executive Director, Global IT Infrastructure / Chief Information Security Officer",Director,Chief Officer,,
CTO/Executive Director of Technology Services,Director,Chief Officer,,
"Vice President, CIO",Vice President,,,
"CIO, Cissp",Chief Officer,,,
"Chief Information Officer, Platform Services",Chief Officer,,,
Chief Technology Officer / Head Of Marketing,Chief Officer,,,
Chief Information Systems Officer,Chief Officer,,,
Chief Data Architect,Chief Officer,,,
"Vice President, Chief Information Security Officer",Chief Officer,,,
SVP and CIO,Chief Officer,,,
Chief Information Officer and Senior VP of Customer Success and Business Transformation,Vice President,,,
"Vice President, Solution Architecture",Vice President,,,
"Lead Software Engineer, Technical Team Lead",Manager,Individual Contributor/Staff,,
Co Founder & Lead Software Engineer,Chief Officer,,,
VP of Information Technology and CIO,Vice President,,,
"Founder, CEO",Chief Officer,,,
Chief Informatics Officer,Vice President,,,
Director/Chief Information Officer,Director,Chief Officer,,
Senior Vice President & Chief Information Security Officer,Chief Officer,,,
Chief Technology Officer | Founding Partner,Chief Officer,,,
CoFounder & CTO,Owner,Chief Officer,,
Chief Product Officer and Founder,Chief Officer,,,
CTO & Technical Cofounder,Chief Officer,,,
CTO | Full Stack Developer,Chief Officer,,,
"Founder, CEO, and CTO",Chief Officer,,,
Chief Executive Officer / Founder,Chief Officer,,,
CIO/ Business Development Director,Director,Chief Officer,,
CINO,,,,
Owner & Data Architect,Manager,Chief Officer,,
Lead DevOps Engineer,Individual Contributor/Staff,,,
CEO/Solution Architect,Manager,Chief Officer,,
Lead Engineer - Intelligent Automation Platform | Cloud | DevOps,Individual Contributor/Staff,,,
Cloud Architect | DevOps Engineer | Tech Lead,Manager,Individual Contributor/Staff,,
Co Founder / Lead software engineer,Chief Officer,,,
Senior Security Architect / Information Security Officer,Manager,Individual Contributor/Staff,,
Software Engineer 2 Team Lead,Manager,Individual Contributor/Staff,,
Cto/co Founder,Chief Officer,,,
Software Architect Engineer,Individual Contributor/Staff,,,
Lead Developer and CTO,Chief Officer,,,
Lead Product Engineer; Sr. Software Engineer,Individual Contributor/Staff,,,
"Vice President Development Manager, BI Reporting, Data Development Operations",Vice President,,,
"Principle Software Engineer, Director",Vice President,Manager,Individual Contributor/Staff,Director
Network AVP Information Security CISO,Director,Chief Officer,,
IT Work Request Coordinator/Desktop Architect,Manager,Individual Contributor/Staff,,
Technology Team Lead II,Individual Contributor/Staff,,,
Embedddd Software Engineer Lead,Manager,Individual Contributor/Staff,,
Chief Information Technology Architect,Chief Officer,,,
CIO & Head of Product Engineering,Chief Officer,,,
Chief Information Security Officer / Founder,Chief Officer,,,
Senior Collaboration Architect and Sitecore System Administrator,Individual Contributor/Staff,,,
Development Operations Technical Lead,Individual Contributor/Staff,,,
CTO & Head of Search,Director,Chief Officer,,
"Chief Technology & Product Officer CTO, CPO",Chief Officer,,,
"Lead Technology, Platforms, Infrastructure / CTO",Chief Officer,,,
General Manager Technology CIO,Vice President,,,
Senior Vice President and CTO,Vice President,,,
Executive Partner and CTO,Chief Officer,,,
Vice President of Information Technology | CISO,Chief Officer,,,
Global Fixed Income CIO,Chief Officer,,,
CIO Advisory Industry Consulting Director,Chief Officer,,,
"Senior Vice President, Global Information Technology",Vice President,,,
VP Information Systems and Technology,Vice President,,,
Erp Analyst,Individual Contributor/Staff,,,
Infrastructure Specialist,Individual Contributor/Staff,,,
Senior Vice President Marketing & Cummunications,Vice President,,,
Senior Chief IT Quality Specialist,Individual Contributor/Staff,,,
Head of IT Security Controls and Integration,Vice President,,,
Vice President - Systems & Software,Vice President,,,
Senior Principal Development Engineer Enterprise and Data Center Infrastructure,Vice President,Manager,Individual Contributor/Staff,Director
VP of Customs and Trade Business Development,Vice President,,,
Vice President Trade Marketing and Demand Planning Business Unit General Manager,Vice President,,,
"Senior Geotechnical Engineer, Risk Specialist",Individual Contributor/Staff,,,
Network Operations Engineer,Individual Contributor/Staff,,,
Chief of Strategy and Innovation,Chief Officer,,,
Information Technology Support Engineer,Individual Contributor/Staff,,,
Quality Assurance Engineer II,Individual Contributor/Staff,,,
Evp Operations,Vice President,,,
Systems Engineer Secuirty,Individual Contributor/Staff,,,
"VP, Corporate Controller",Vice President,,,
Application Development Engineer,Individual Contributor/Staff,,,
Systems Engineer I,Individual Contributor/Staff,,,
Lead DevOps/Deployment Automation Cloud Engineer,Individual Contributor/Staff,,,
"Vice President, Production Finance Television",Vice President,,,
"Software Engineer III, Backend",Individual Contributor/Staff,,,
Survey Systems Development Engineer III,Individual Contributor/Staff,,,
EA CEO David Ellison,Chief Officer,,,
Field Application / Product Development Engineer,Individual Contributor/Staff,,,
"Vice President General Manager, Hecla Limited",Vice President,,,
"Sr. Vice President, PE,LEED AP",Vice President,,,
"Systems Administrator, ILS",Individual Contributor/Staff,,,
Sys Admin Unix/Linux,Individual Contributor/Staff,,,
Systems Network Administrator,Individual Contributor/Staff,,,
Cloud Network Engineer,Individual Contributor/Staff,,,
Database Engineer,Individual Contributor/Staff,,,
NOC Administrator,Individual Contributor/Staff,,,
Assistant Manager Quality Control,Individual Contributor/Staff,,,
Senior Principal,Individual Contributor/Staff,,,
Mobile Operations Supervisor,Manager,Individual Contributor/Staff,,
Emerging Markets | Business Development | Senior Vice President,Vice President,,,
"Senior Vice President, Products",Vice President,,,
Web Application Developer,Individual Contributor/Staff,,,
Email & Front End Web Developer II,Individual Contributor/Staff,,,
Web Engineer,Individual Contributor/Staff,,,
Front End Developer,Individual Contributor/Staff,,,
